URL,Length-of-url,Special_chars,Ads_Class
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
https://www.freetutorials.eu/wp-includes/js/jquery/jquery.j,59,"[':', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-includes/js/jquery/jquery-migrate.min.j,71,"[':', '.', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/plugins/super-rss-reader/public/js/script.min.j,87,"[':', '.', '.', '.', '.']",non-ad
https://cdn.rawgit.com/vaakash/jquery-easy-ticker/92e6e76c/jquery.easy-ticker.min.j,83,"[':', '.', '.', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/plugins/theme-my-login/modules/themed-profiles/themed-profiles.j,104,"[':', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/themes/redwaves-lite/js/slidebars.min.j,79,"[':', '.', '.', '.', '.']",non-ad
https://cdn.onesignal.com/sdks/OneSignalSDK.j,45,"[':', '.', '.', '.']",non-ad
https://www.googletagmanager.com/gtag/js?id=UA-107188213-,57,"[':', '.', '.', '?']",non-ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
//pagead2.googlesyndication.com/pagead/js/adsbygoogle.j,55,"['.', '.', '.']",ad
https://www.freetutorials.eu/wp-content/plugins/contact-form-7/includes/js/scripts.j,84,"[':', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/plugins/responsive-accordion-and-collapse/js/bootstrap.j,96,"[':', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/plugins/responsive-accordion-and-collapse/js/accordion.j,96,"[':', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/plugins/yith-infinite-scrolling/assets/js/yith.infinitescroll.min.j,107,"[':', '.', '.', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/plugins/yith-infinite-scrolling/assets/js/yith-infs.min.j,97,"[':', '.', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-includes/js/comment-reply.min.j,63,"[':', '.', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/themes/redwaves-lite/js/jquery.pin.j,76,"[':', '.', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-content/plugins/ajax-search-lite/js/min/jquery.ajaxsearchlite.min.j,99,"[':', '.', '.', '.', '.', '.']",non-ad
https://www.freetutorials.eu/wp-includes/js/wp-embed.min.j,58,"[':', '.', '.', '.', '.']",non-ad
https://www.google.com/recaptcha/api.js?render=explicit&ver=1.4,63,"[':', '.', '.', '.', '?', '&', '.']",non-ad
https://www.freetutorials.eu/wp-content/plugins/google-captcha/js/script.j,74,"[':', '.', '.', '.']",non-ad
