URL,Length-of-url,Special_chars,Ads_Class
/yts/jsbin/scheduler-vflLmoSIG/scheduler.j,42,['.'],non-ad
/yts/jsbin/spf-vflDKOOox/spf.j,30,['.'],non-ad
/yts/jsbin/www-en_US-vfl4KMln8/base.j,37,['.'],non-ad
https://static.xx.fbcdn.net/rsrc.php/v3/yT/r/y2br53fSdZN.j,58,"[':', '.', '.', '.', '.', '.']",non-ad
portal/wikipedia.org/assets/js/index-66c9b3efbd.j,49,"['.', '.']",non-ad
portal/wikipedia.org/assets/js/gt-ie9-a2995951ca.j,50,"['.', '.']",non-ad
"//g.alicdn.com/??kissy/k/1.4.14/seed-min.js,mui/global/3.0.31/global-pc.js,mui/global/3.0.31/global.js,mui/globalmodule/3.0.83/seed.js,mui/btscfg-g/3.0.0/index.js,mui/bucket/3.0.4/index.js,mui/globalmodule/3.0.83/global-mod-pc.js,mui/globalmodule/3.0.83/global-mod.js,mui/kissy-polyfill/4.0.16/index.js,mui/babel-polyfill/6.2.4/index.js,mui/fetch/4.1.12/fetch.js,mui/fetch/4.1.12/tool.js,mui/fetch/4.1.12/jsonp.j",412,"['.', '.', '?', '?', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.']",non-ad
//g.alicdn.com/secdev/pointman/js/index.j,41,"['.', '.', '.']",non-ad
"//g.alicdn.com/mui/pc-openshow/3.0.40/??seed.js,index.j",55,"['.', '.', '.', '.', '?', '?', '.', ',', '.']",non-ad
//g.alicdn.com/mtb/??lib-windvane/2.0.3/windvane.j,50,"['.', '.', '?', '?', '.', '.', '.']",non-ad
https://s.yimg.com/aaq/cmp/version/2.14.0/cmp.j,47,"[':', '.', '.', '.', '.', '.']",non-ad
https://s.yimg.com/rq/darla/3-6-3/js/g-r-min.j,46,"[':', '.', '.', '.']",non-ad
https://s.yimg.com/zz/combo?yui:/3.18.0/yui/yui-min.j,53,"[':', '.', '.', '?', ':', '.', '.', '.']",non-ad
https://s.yimg.com/ss/rapid-3.53.2.j,36,"[':', '.', '.', '.', '.', '.']",non-ad
https://s.yimg.com/os/mit/td/aperollup-min-c9473dd9_desktop_advance.j,69,"[':', '.', '.', '.']",non-ad
https://s.yimg.com/os/mit/td/td-applet-specialevent-0.0.52/r-min.j,66,"[':', '.', '.', '.', '.', '.']",non-ad
https://s.yimg.com/os/mit/td/td-applet-stream-atomic-2.0.1697/r-min.j,69,"[':', '.', '.', '.', '.', '.']",non-ad
https://s.yimg.com/os/mit/td/td-applet-mega-header-1.0.853/r-min.j,66,"[':', '.', '.', '.', '.', '.']",non-ad
https://s.yimg.com/os/mit/td/td-applet-viewer-0.1.2802/r-min.j,62,"[':', '.', '.', '.', '.', '.']",non-ad
https://s.yimg.com/os/mit/td/td-applet-navlinks-atomic-0.0.90/r-min.j,69,"[':', '.', '.', '.', '.', '.']",non-ad
https://s.yimg.com/os/mit/td/td-applet-fp-utils-0.1.293/r-min.j,63,"[':', '.', '.', '.', '.', '.']",non-ad
"//g.alicdn.com/??kissy/k/1.4.14/seed-min.js,mui/kissy-polyfill/4.0.16/index.js,mui/zepto/4.0.9/zepto.js,mui/zepto/4.0.9/event.js,mui/zepto/4.0.9/touch.js,mui/mtb-windvane/4.0.3/index.js,mui/babel-polyfill/6.2.7/index.js,mui/mtop/4.1.9/index.js,mui/zebra-dynamic/4.2.12/io.js,mui/zebra-dynamic/4.2.12/ald-bottom.js,mui/fetch/4.1.12/tool.js,mui/zebra-dynamic/4.2.12/request.js,mui/cookie/4.1.0/index.js,mui/zebra-dynamic/4.2.12/plugins/region/index.js,mui/zebra-dynamic/4.2.12/plugins/chaoshi/index.js,mui/zebra-dynamic/4.2.12/plugins/userId/index.js,mui/zebra-dynamic/4.2.12/plugin.js,mui/zebra-dynamic/4.2.12/index.js,mui/common/4.0.105/js/mod-config.js,mui/common/4.0.105/js/event.js,mui/custom-event/4.0.3/index.js,mui/common/4.0.105/js/tm.js,mui/common/4.0.105/js/tool.js,mui/common/4.0.105/js/site-nav.js,mui/common/4.0.105/js/plugin-pc.js,mui/common/4.0.105/index-pc.js,mui/location/4.1.0/get-user-location-by-ip.js,mui/zebra-loader/4.4.15/index.js,mui/bat/5.0.11/index.js,mui/tes/5.0.14/index.js,mui/zebra-oversea-header-pc/4.0.30/index-pc.j",1047,"['.', '.', '?', '?', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.', ',', '.', '.', '.']",non-ad
//g.alicdn.com/secdev/pointman/js/index.j,41,"['.', '.', '.']",non-ad
/i/js_inst?c_name=ui_metric,27,['?'],non-ad
/i/js_inst?c_name=ui_metric,27,['?'],non-ad
https://abs.twimg.com/k/en/init.en.374a34b193c9f3a3fa16.j,57,"[':', '.', '.', '.', '.', '.']",non-ad
//statics.itc.cn/web/v3/static/js/lib-61587d9fb8.j,50,"['.', '.', '.']",non-ad
//39d0825d09f05.cdn.sohucs.com/sdk/passport-4.0.3.j,51,"['.', '.', '.', '.', '.', '.']",non-ad
